"date","vix_close","vix_price_change","sandp_close","sandp_price_change"
"1990-01-02",17.24,0,359.690002,0
"1990-01-03",18.190001,0.950001,358.76001,-0.92999199999997
"1990-01-04",19.219999,1.029998,355.670013,-3.08999700000004
"1990-01-05",20.110001,0.890001999999999,352.200012,-3.47000099999997
"1990-01-08",20.26,0.149999000000001,353.790009,1.58999699999998
"1990-01-09",22.200001,1.940001,349.619995,-4.17001399999998
"1990-01-10",22.440001,0.239999999999998,347.309998,-2.30999700000001
"1990-01-11",20.049999,-2.390002,348.529999,1.22000099999997
"1990-01-12",24.639999,4.59,339.929993,-8.60000599999995
"1990-01-15",26.34,1.700001,337,-2.92999300000002
"1990-01-16",24.18,-2.16,340.75,3.75
"1990-01-17",24.16,-0.0199999999999996,337.399994,-3.35000600000001
"1990-01-18",24.34,0.18,338.190002,0.790008
"1990-01-19",22.5,-1.84,339.149994,0.959992
"1990-01-22",26.700001,4.200001,330.380005,-8.76998900000001
"1990-01-23",24.719999,-1.980002,331.609985,1.22998000000001
"1990-01-24",25.389999,0.669999999999998,330.26001,-1.34997499999997
"1990-01-25",25.629999,0.240000000000002,326.079987,-4.18002300000001
"1990-01-26",26.280001,0.650001999999997,325.799988,-0.279999000000032
"1990-01-29",26.440001,0.16,325.200012,-0.59997599999997
"1990-01-30",27.25,0.809999000000001,322.980011,-2.22000100000002
"1990-01-31",25.360001,-1.889999,329.079987,6.09997600000003
"1990-02-01",24.870001,-0.490000000000002,328.790009,-0.289978000000019
"1990-02-02",24.32,-0.550000999999998,330.920013,2.13000399999999
"1990-02-05",24.540001,0.220001,331.850006,0.929993000000024
"1990-02-06",24.690001,0.149999999999999,329.660004,-2.19000199999999
"1990-02-07",24.290001,-0.399999999999999,333.75,4.08999599999999
"1990-02-08",23.77,-0.520001000000001,332.959991,-0.790008999999998
"1990-02-09",23.690001,-0.0799990000000008,333.619995,0.660004000000015
"1990-02-12",24.379999,0.689998000000003,330.079987,-3.540008
"1990-02-13",23.76,-0.619999,331.019989,0.940001999999993
"1990-02-14",22.049999,-1.710001,332.01001,0.990021000000013
"1990-02-15",19.709999,-2.34,334.890015,2.88000499999998
"1990-02-16",20.780001,1.070002,332.720001,-2.17001399999998
